aabikasa,abikaasa
ei kai,ei käi
ei pakku,ei paku
ei rikku,ei riku
ei suuta,ei suuda
ei tekki,ei teki
ei töö,ei tööta
ei tööda,ei tööta
ei tunnu,ei tundu
ekka,ikka
eksemplaari,eksemplari
ekskursion,ekskursioon
ekspordit,eksporti
elanikkele,elanikele
elanikonna,elanikkonna
elanikudest,elanikest
elanikuid,elanikke
elanikute,elanike
elanikutele,elanikele
elanikutest,elanikest
elanilule,elanikule
elegaantne,elegantne
elevad,elavad
elistan,eelistan
elmine,eelmine
elnikud,elanikud
elutustaset,elatustaset
eluvision,eluvisioon
energeline,energiline
enesestmõistatav,enesestmõistetav
ennesekindel,enesekindel
ennetutööd,ennetustööd
ensüklopeediaid,entsüklopeediaid
entüklopeedia,entsüklopeedia
erakoralise,erakorralise
ergsaks,erksaks
erijala,eriala
erinevades,erinevates
esialugu,esialgu
esmaspäevoti,esmaspäeviti
esti,eesti
ettekannega,ettekandega
ettekannele,ettekandele
ettendus,etendus
ettendused,etendused
ettenduseid,etendusi
ettendusi,etendusi
ettepanekku,ettepanekut
ettevõtes,ettevõttes
ettevõttete,ettevõtete
ettevõttetele,ettevõtetele
ezoterikat,esoteerikat
fään,fänn
fanatastikat,fantastikat
fenomeeniks,fenomeniks
fiiltrid,filtrid
finanseerida,finantseerida
firmaid,firmasid
galerejas,galeriis
garaasis,garaažis
garanteerub,garanteerib
gettod,getod
gnom,gnoom
grup,grupp
gruppi,grupi
gruppijuhina,grupijuhina
gruppis,grupis
gumnaasiumis,gümnaasiumis
haigesed,haigused
haiglasid,haiglaid
hakab,hakkab
hakas,hakkas
hakkata,hakata
hakkatakse,hakatakse
häsi,hästi
hasti,hästi
heat,head
hed,head
helesta,helista
helistä,helista
hinned,hinnad
hirmustavat,hirmutavat
hobbist,hobist
hõda,hoida
hoiakse,hoitakse
hoidaksid,hoiaksid
hoiduselts,hoiuselts
holdused,hooldused
holitseda,hoolitseda
holitsema,hoolitsema
homikul,hommikul
hooaga,hooga
hooguga,hooga
hoolodamiseks,hooldamiseks
hoome,homme
hotteli,hotelli
hottelis,hotellis
hüppada,hüpata
hüppata,hüpata
huvitavadega,huvitavatega
ideeid,ideid
identideeti,identiteeti
igutsesin,igatsesin
ikagi,ikkagi
ilusade,ilusate
imselt,ilmselt
indentideedi,identiteedi
indentiteeti,identiteeti
inemesega,inimesega
inemest,inimest
informatsioone,informatsiooni
infotenoloogia,infotehnoloogia
inglesi,inglise
inimees,inimene
inimeseid,inimesi
inimised,inimesed
inimste,inimeste
ininene,inimene
instaleerida,installeerida
instrumentid,instrumendid
internetitõrged,internetitõrked
internetportaale,internetiportaale
internett,internet
intervju,intervjuu
intilligeensuse,intelligentsuse
iselomuga,iseloomuga
istukohad,istekohad
isuloom,iseloom
IT-spetsialisid,IT-spetsialistid
IT-spetsialistija,IT-spetsialist
jaab,jääb
jäätavad,jätavad
jäätsid,jätsid
jäätsin,jätsin
jai,jäi
jaladnõud,jalanõud
jalakäja,jalakäija
jalakäjateel,jalakäijateel
jalgpallistadiooni,jalgpallistaadioni
jalgrata,jalgratta
jälkaks,jätkaks
jalle,jälle
jalpalli,jalgpalli
jareleandmiseoskus,järeleandmiseoskus
jargi,järgi
jargige,järgige
jargmised,järgmised
jargmisel,järgmisel
jargmistel,järgmistel
jargusse,järku
järjes,järjest
järmisel,järgmisel
jatasib,jätkas
jatavad,jätavad
jätis,jättis
jatku,jätku
jatkub,jätkub
jätmed,jäätmed
jatta,jätta
jo,ja
joe,jõe
jögi,jõgi
jõib,jõi
jon,joon
jooksab,jookseb
jooksta,joosta
jooneid,jooni
jõuasime,jõudsime
jõutsuma,jõustuma
jõutsunud,jõustunud
juhandajaga,juhatajaga
juhuslikkult,juhuslikult
jurdes,juures
jures,juures
jurvilja,juurvilja
juttustada,jutustada
juuba,juba
juurleta,juurteta
juutustusid,jutustusi
kaa,ka
kaaldun,kaldun
kaaskodanikutele,kodanikutele
kabineetis,kabinetis
kaduvad,kaovad
kaebunud,kaevanud
kahekoruselises,kahekorruselises
kais,käis
kaisid,käisid
kaisime,käisime
kaisin,käisin
käisit,käisid
käisivad,käisid
kaita,käia
kaitseja,kaitsja
kaivad,käivad
käja,käia
kamera,kaamera
kanaalid,kanalid
kand,kant
kanditatuur,kandidatuur
kannatu,kannatanu
kappid,käpad
kardasin,kartsin
kardis,kartis
kardsin,kartsin
käsisin,käisin
kassipogadega,kassipoegadega
kassire,kassiire
kassit,kassi
kasulilikke,kasulikke
kasutatake,kasutatakse
kasutataske,kasutatakse
kasuttamist,kasutamist
kättes,kätes
kautu,kaudu
kehvam,kehvem
kellegile,kellelegi
kellegilt,kelleltki
kelt,keelt
keppiga,kepiga
kesklinnasse,kesklinna
keskond,keskkond
kiimba,kliima
kiirema,kiiremalt
kiirikus,kirikus
kiiristab,kiirustab
kiirte,kiirtee
kilometrit,kilomeetrit
kilot,kilo
kindlati,kindlasti
kinglasti,kindlasti
kinkin,kingin
kinnos,kinos
kinnose,kinno
kirjanud,kirjutanud
kirjutavd,kirjutavad
klaasika,klassika
klaassika,klassika
klasikaalne,klassikaline
klasikalised,klassikalised
klassikaaslade,klassikaaslased
klasskaaslastega,klassikaaslastega
klientid,kliendid
kodanikete,kodanike
kodanikutele,kodanikele
kodulehtelt,kodulehelt
kodümbrus,koduümbrus
kodusloomad,koduloomad
koeranaitusele,koeranäitusele
koerat,koera
koeratele,koertele
koeriga,koeraga
kogenenud,kogenud
kohalikkutel,kohalikel
kohte,kohta
kohtusine,kohtusime
kohusliku,kohustusliku
koige,kõige
koigepealt,kõigepealt
kõigidega,kõikidega
kõigidel,kõikidel
koike,kõike
kõikedele,kõikidele
kõikega,kõigega
kõikevõimalikku,kõikvõimalikku
kojus,kodus
kõkjal,kõikjal
kokkuvõteks,kokkuvõtteks
kokkuvõttet,kokkuvõtet
kolaseks,kollaseks
koleegid,kolleegid
kolektiiviga,kollektiiviga
kolektsioon,kollektsioon
kolleegeid,kolleege
kolleegia,kolleegid
kollegidega,kolleegidega
kollegidelt,kolleegidelt
kollektivis,kollektiivis
kolletiivis,kollektiivis
kolmkümend,kolmkümmend
kolmküment,kolmkümmend
komete,kommete
kommissar,komissar
kompaniad,kampaaniad
kompaniate,kampaaniate
kompetensete,kompetentsete
kompromissit,kompromissi
konferentse,konverentse
konkretsel,konkreetsel
konkurentsivõimalikuks,konkurentsivõimeliseks
konkursite,konkursside
kõnniteidele,kõnniteedele
kontoor,kontor
kontooris,kontoris
kontrolida,kontrollida
kontrolisime,kontrollisime
kontsedile,kontserdile
kontserd,kontsert
kontserdeid,kontserte
kontserdit,kontserti
kontsertiga,kontserdiga
kontsertile,kontserdile
kontsertis,kontserdis
konverendsil,konverentsil
konverentsel,konverentsil
koodus,kodus
koogemus,kogemus
köögiretseptit,köögiretseptid
koogu,kogu
kooleegidega,kolleegidega
koolin,kolin
koolitud,koolitatud
kooristajad,koristajad
kooristajat,koristajat
korda,korda
korisdada,koristada
korralukult,korralikult
korristab,koristab
korristada,koristada
korristama,koristama
korristamist,koristamist
korristan,koristan
kort,kord
korusel,korrusel
kreveetiga,krevetiga
kriiminal,kriminaal
kubakeskus,kaubakeskus
kugo,kogu
kuhugil,kusagil
kuhugile,kuhugi
kukkuvad,kukuvad
kulada,kuulata
külalislektore,külalislektoreid
kulan,kuulan
kulasime,kuulasime
kulasin,kuulasin
külasin,kuulsin
kulgedel,külgedel
külk,külg
küllas,külas
kultuurelu,kultuurielu
kultuuriasustusi,kultuuriasutusi
kultuurikaindjaid,kultuurikandjaid
kultuurite,kultuuride
kultuuritest,kultuuridest
kulujutte,kuulujutte
kuluvad,kuuluvad
kümend,kümmend
küpsitasib,küpsetas
kuritegija,kurjategija
kuritegijad,kurjategijad
kuritegijaid,kurjategijaid
kuritegijal,kurjategijal
kuritegijate,kurjategijate
kuriteodega,kuritegudega
kursidega,kurssidega
kusida,küsida
kusk,kuusk
kustsusin,kutsusin
kutsutada,kutsuda
kutsutan,kutsun
kuttikas,kutsikas
kuttikast,kutsikast
kuuesandal,kuuendal
küüla,külla
kuuleriga,kulleriga
kuulud,kuulsad
kuulutusid,kuulutusi
kvaliteed,kvaliteet
läbivaatlus,läbivaatus
lagundab,laguneb
laheb,läheb
lahedada,lahendada
lahedal,lähedal
lahema,läheme
laheme,läheme
läheta,minna
laiaim,laiem
laksin,läksin
lambikoer,lambakoer
lampid,lambid
lapsedega,lastega
lapseholduspuhkusel,lapsehoolduspuhkusel
lapsipõlvenist,lapsepõlvest
lasteajadega,lasteaedadega
lasteajas,lasteaias
lastedega,lastega
lastedele,lastele
laulajaid,lauljaid
laulamine,laulmine
laulas,laulis
laulas,laulis
laulde,laulude
lauluvad,laulavad
laupaeval,laupäeval
läupäeval,laupäeval
leidan,leian
lektoorid,lektorid
lektore,lektoreid
lemiklooma,lemmiklooma
lennukjaam,lennujaam
lennukuga,lennukiga
lepida,leppida
leppime,lepime
lepungu,lepingu
lihstatud,lihtsustatud
lihtsal,lihtsalt
liidude,liitude
liiged,liikmed
liigipääs,ligipääs
liigipääsu,ligipääsu
liikelda,liigelda
liiklusõnnestuses,liiklusõnnetuses
liikub,liigub
liingile,lingile
linnaelanikudel,linnaelanikel
linnastastumise,linnastumise
linnustamine,linnastumine
linnustumisel,linnastumisel
lõbuslik,lõbus
loengudest,loengutest
loetada,lugeda
loetasin,lugesin
lõhuda,lõhkuda
lookid,lokid
loomag,loomad
lõpes,lõpus
lõpetasib,lõpetas
lõpõtada,lõpetada
lõppetada,lõpetada
lõppetamist,lõpetamist
lõppetanud,lõpetanud
lõppisime,lõpetasime
lõppuks,lõpuks
lõppuni,lõpuni
lõppus,lõpus
lõpudeks,lõpetuseks
lõpunist,lõppemist
lõun,lõuna
lõunadest,lõunatest
lugen,loen
lugete,loete
lugetud,loetud
lugitud,lukustatud
lugupeatud,lugupeetud
lugupeeteud,lugupeetud
lugupetud,lugupeetud
lugupidev,lugupidav
lugupidevalt,lugupidavalt
luhikesed,lühikesed
lükkati,lükati
lumis,lumes
lüsikas,lusikas
luugeda,lugeda
luugupeetud,lugupeetud
määäral,määral
maalmas,maailmas
maaral,määral
magisin,magasin
mailiga,meiliga
mailmaga,maailmaga
maitsvait,maitsvaid
majandusemmigrandid,majandusemigrandid
majanduslikkel,majanduslikel
makaroonid,makaronid
maksuvad,maksvad
malamut,malamuut
mannipuleerimiseks,manipuleerimiseks
märgavalt,märgatavalt
märkanud,märganud
märkata,märgata
massmeedia,massimeedia
massmeedias,massimeedias
masstaabis,mastaabis
matematika,matemaatika
media,meedia
medial,meedial
meditsiinitöötajadest,meditsiinitöötajatest
meditsiinsfääri,meditsiinisfääri
meeda,meedia
meediga,meediaga
meedikanalite,meediakanalite
meediomanikkude,meediaomanike
meedis,meedias
meedita,meediata
meelelahujuse,meelelahutuse
meelelahustus,meelelahutus
meeres,meres
meetsas,metsas
mei,meie
meiel,meil
meiele,meile
meldib,meeldib
meldis,meeldis
meldiv,meeldiv
meldivad,meeldivad
meldsam,meeldivam
meles,meelest
melgil,meeldib
merile,merele
meve,meie
milleaga,millega
minged,mingid
minusid,miinused
mite,mitte
mittu,mitu
mobiiloperaatorid,mobiilioperaatorid
model,mudel
mõjutlege,mõjutage
moodel,mudel
moosikandid,moosekandid
mootorrattased,mootorrattad
mõtega,mõttega
mõteks,mõtteks
mõtelen,mõtlen
mõtes,mõttes
mõtetu,mõttetu
mõtlenud,mõelnud
motted,mõtted
muinasjuttud,muinasjutud
mujnasjuttu,muinasjuttu
muljedest,muljetest
murdab,murrab
museimus,muuseumis
museius,muuseumis
musemiumis,muuseumis
müseum,muuseum
museumisse,muuseumisse
musiemisse,muuseumisse
musikad,muusikad
mustat,musta
mutub,muutub
müüan,müün
müüana,müüjana
muugav,mugav
muuseumise,muuseumisse
muuseumusid,muuseumisid
muuseuumis,muuseumis
muusiumis,muuseumis
muutas,muutus
muutusib,muutus
nadalavahetusel,nädalavahetusel
nädalavähetusel,nädalavahetusel
naen,näen
näerame,naerame
naeranud,naernud
naeras,naeris
naerta,naerda
näga,näha
nägalavahetusel,nädalavahetusel
nägevad,näevad
nägisid,nägid
nähk,nahk
näided,näited
näideks,näiteks
näidena,näitena
naiseajakirju,naisteajakirju
näiste,naiste
naiteks,näiteks
naitusele,näitusele
nälaga,nädalaga
närvisin,närveerisin
ned,need
nedest,nendest
neju,neiu
nelikümend,nelikümmend
ni,nii
niimelt,nimelt
niimodi,niimoodi
nimet,nimelt
nimikirjaga,nimekirjaga
nimikirjast,nimekirjast
nimitatakse,nimetatakse
nind,ning
nissugune,niisugune
norem,noorem
normalne,normaalne
nõuannega,nõuandega
nõudakse,nõutakse
nõutatavat,nõutavat
nu,no
nurgadest,nurkadest
nutitelefoonidele,nutitelefonidele
odometri,odomeetri
oelen,olen
õhkond,õhkkond
ohlikuid,ohtlikke
õht,õhtu
õhtude,õhtute
õhtudes,õhtutes
õhtuliti,õhtuti
ohtusi,ohtusid
ohtusnõued,ohutusnõuded
ohutusnõued,ohutusnõuded
ola,olla
olavad,elavad
oleb,on
olukorradest,olukordadest
olut,õlut
omanikut,omanikku
omanikutele,omanikele
omavalistuse,omavalitsuse
omavalitsu,omavalitsus
onavalitsuse,omavalitsuse
õnnetusjutumite,õnnetusjuhtumite
onutütrale,onutütrele
oodavad,ootavad
ööelda,öelda
ootades,oodates
oötan,ootan
ootasib,ootas
õpekava,õppekava
opera,ooper
õpetakse,õpetatakse
õpilestele,õpilastele
õpis,õppis
õppetaksid,õpetaksid
õppetama,õpetama
õppiaeg,õpiaeg
õppik,õpik
õppikuid,õpikuid
õppilane,õpilane
õppilastele,õpilastele
õppime,õpime
oppisime,õppisime
õppitasime,õppisime
optimistiliselt,optimistlikult
orkestr,orkester
osama,oskama
ostamiseks,ostmiseks
ostasime,ostsime
ostasin,ostsin
ostsib,ostis
ostsusest,otsusest
otsusin,otsustasin
ottan,ootan
ovad,on
paasoskus,baasoskus
päästajad,päästjad
päeb,päev
paeb,peab
paegu,praegu
päevaid,päevi
paigades,paikades
paistas,paistis
päistas,paistis
paistasib,paistis
pakkub,pakub
pakkud,pakud
pakkume,pakume
pakkun,pakun
pakkutakse,pakutakse
pakkutav,pakutav
pakkuti,pakuti
pakkutud,pakutud
pakuda,pakkuda
palkaga,palgaga
pandu,pandud
pannus,panus
pantakse,pannakse
paraleelselt,paralleelselt
päras,pärast
parast,pärast
parfüümit,parfüümi
pargides,parkides
pärist,pärast
parit,pärit
parkis,pargis
peaegu,peaaegu
peave,peame
peetmiseks,petmiseks
peitakse,peidetakse
pensionäär,pensionär
pensionääre,pensionäre
pensioneer,pensionär
pensioonivanus,pensionivanus
pereit,pered
perekonnd,perekond
pergis,pargis
personaaliosokanno,personaliosakonna
personaaliotsingu,personaliotsingu
personaljuht,personalijuht
perspektiivit,perspektiivi
peseda,pesta
pesnionäärid,pensionärid
pidavalt,pidevalt
pidust,peost
pidutsime,pidutsesime
piidevalt,pidevalt
piileti,pileti
piiretleda,piiritleda
pikkad,pikad
pikkajalist,pikaajalist
pikkalt,pikalt
pikkem,pikem
pildit,pilti
piletide,piletite
piratidest,piraatidest
pisiki,pisike
pitza,pitsa
plaanitkse,plaanitakse
plahvatuda,plahvatada
põhilesed,põhilised
põhimõteliselt,põhimõtteliselt
põhimõttete,põhimõtete
põhjustateks,põhjustajateks
pois,poiss
poled,pooled
politikad,poliitikad
politikaid,poliitikaid
põnevikut,põnevikku
poodile,poele
poodist,poest
pöörakse,pööratakse
pööratage,pöörake
pöördaksin,pöörduksin
pöördan,pöördun
poortal,portaal
poppulaarsete,populaarsete
portalis,portaalis
potensiaalset,potentsiaalset
praaegu,praegu
praega,praegu
präegu,praegu
praegy,praegu
prägu,praegu
preagu,praegu
pregu,praegu
printsiibe,printsiipe
probleemik,probleemiks
probleemit,probleemi
problem,probleem
probleme,probleeme
problemi,probleemi
problemiga,probleemiga
proekt,projekt
proekte,projekte
proffesionalne,professionaalne
profilaktika,profülaktika
progmmi,programmi
prograam,programm
prograamiga,programmiga
program,programm
programid,programmid
programmeerist,programmeerimist
programne,programm
prombleemi,probleemi
promenad,promenaad
prooblem,probleem
propagandeeritakse,propageeritakse
propagondeerida,propageerida
propoganda,propaganda
propogandeerimine,propageerimine
provida,proovida
provime,proovime
provin,proovin
provisin,proovisin
prügikasteid,prügikaste
prugikonteinerid,prügikonteinerid
prüügi,prügi
psüholoogijast,psühholoogiast
psüholoogilised,psühholoogilised
psüholoogilist,psühholoogilist
puhapäeval,pühapäeval
pühapäiviti,pühapäeviti
puhkata,puhata
puhkume,puhkame
punansed,punased
purge,purke
purkondadel,piirkondadel
püüakse,püütakse
puudelid,pudelid
puudlikult,puudulikult
puudvad,puuduvad
püügima,püüdma
puulehtes,puulehtedes
puvilja,puuvilja
rääggiti,räägiti
räägis,rääkis
räägisime,rääkisime
räägisin,rääkisin
räägitati,räägiti
rääkime,räägime
rääkin,räägin
rääkind,rääkinud
rääkitud,räägitud
raamad,raamatud
raamatude,raamatute
raamatudele,raamatutele
raamaturiilist,raamaturiiulist
raamaturiulitest,raamaturiiulitest
raamatutuega,raamatutega
raamudest,raamatutest
raamutus,raamatus
radiost,raadiost
radiot,raadiot
rägime,räägime
rahat,raha
rahuolematus,rahulolemastus
rahutunned,rahutunded
rahvasmuusikat,rahvamuusikat
rahvest,rahvast
rajatatud,rajatud
ramatuid,raamatuid
ramaturiiuleid,raamaturiiuleid
rammatud,raamatud
randakülastajad,rannakülastajad
rapputada,raputada
regularsed,regulaarsed
reklaameri,reklaami
remonteeritud,remonditud
remontin,remondin
renorveeritud,renoveeritud
restavreeritud,restaureeritud
restoraani,restorani
restoraanidega,restoranidega
restoraanis,restoranis
riigide,riikide
riigidesse,riikidesse
riiulide,riiulite
rikkub,rikub
rõmuslik,rõõmus
rongteel,rongiteel
rõõdu,rõdu
rottid,rotid
saaded,saated
saakite,saaksite
sääravad,säravad
saat,saad
saatusin,sattusin
saitis,saidis
salada,salata
sallivuss,sallivuse
salon,salong
saloonis,salongis
saloonist,salongist
šanssid,šansid
sattud,satud
se,see
seejäreel,seejärel
seeline,selline
seesse,sellesse
seiklusraamatuit,seiklusraamatuid
sekretäär,sekretär
selleparast,sellepärast
selliset,sellisest
seltkond,seltskond
seminaar,seminar
seminaari,seminari
seminaaril,seminaril
seminaaris,seminaris
seminaarist,seminarist
seminariumi,seminari
sihekindlad,sihikindlad
sii,siis
siiamani,siiamaani
siija,siia
sil,sel
silepärast,sellepärast
situatsion,situatsioon
situatsiooneid,situatsioone
skandalite,skandaalide
sober,sõber
sõbraanraga,sõbrannaga
sõbrade,sõprade
sõbradega,sõpradega
sõbradest,sõpradest
sõbralikute,sõbralike
sõbranadega,sõbrannadega
sõbrate,sõprade
sõe,soe
sõidasin,sõitsin
sõidata,sõita
sõidma,sõitma
sõidsin,sõitsin
söiduauto,sõiduauto
sõiduteet,sõiduteed
sõitsis,sõitis
šokkis,šokis
sõlmiga,sõlmida
sõltima,sõlmima
sõnaraamad,sõnaraamatud
soobib,sobib
soobis,sobis
soobiva,sobiva
soodsete,soodsate
sõõin,sõin
soovitega,soovidega
sõpraana,sõbranna
sõpraga,sõbraga
sõtmise,sõitmise
sotsiaalmedia,sotsiaalmeedia
sotsiaalvõrgudes,sotsiaalvõrkudes
sotsiaasest,sotsiaalsest
sotsial,sotsiaal
spakeskus,spaakeskus
spetsiaalistide,spetsialistide
spoordiga,spordiga
spordiplatseid,spordiplatse
sportiga,spordiga
sportiivne,sportlik
sportiplattsi,spordiplatsi
sportivselt,sportlikult
sportkompleksid,spordikompleksid
statiistikast,statistikast
statistikameti,statistikaameti
stess,stress
stiline,stiilne
stub,istub
suhela,suhelda
suhtleda,suhelda
suitsupakkid,suitsupakid
sündime,sünnime
sünndinud,sündinud
sünnipäevat,sünnipäeva
sunu,sinu
suplerandades,supelrandades
sureparane,suurepärane
surepärasest,suurepärasest
survata,surfata
süügisel,sügisel
süüja,süüa
suulle,sulle
suundinud,sündinud
süürfan,surfan
suusid,suusad
suvil,suvel
tä,ta
tägajärjed,tagajärjed
tagajärjedega,tagajärgedega
tagajärjeid,tagajärgi
tagajärjestega,tagajärgedega
tagal,taga
tähan,tahan
tahelepanelikud,tähelepanelikud
tähelepanelikusest,tähelepanelikkusest
tahendab,tähendab
tahksib,tahtis
tahksin,tahtsin
tahtvad,tahavad
taimetega,taimedega
tais,täis
täisest,teisest
täiskavanutele,täiskasvanutele
tale,talle
tana,täna
tänanpäevani,tänapäevani
tänapaeval,tänapäeval
tänasepäeval,tänapäeval
tänasepäevasega,tänapäevasega
tänavade,tänavate
tänavadel,tänavatel
tanaval,tänaval
tanävate,tänavate
tansu,tantsu
tantsikluubi,tantsuklubi
tapatakse,tapetakse
tarkem,targem
tavaid,tavasid
teabepäevaid,teabepäevi
teadav,teada
teadlstele,teadlastele
teama,teadma
tebepäev,teabepäev
tebepäeval,teabepäeval
tebepäevasid,teabepäevasid
teemdele,teemadele
teenusi,teenuseid
teenuspakkuja,teenusepakkuja
teenuspakkujaga,teenusepakkujaga
teenusupakkujat,teenusepakkujat
tegelib,tegeleb
tegelis,tegeles
tegelt,tegelikult
tegisin,tegin
tehame,tahame
tehasi,tehaseid
tehniliine,tehniline
tehnologia,tehnoloogia
tehnoloogiauudistetega,tehnoloogiauudistega
teiel,teil
teiga,teiega
teineteistele,teineteisele
teiseldamiseks,teisaldamiseks
teisepäeval,teisipäeval
teisipaeval,teisipäeval
teisse,teise
teje,teie
tekkitada,tekitada
tekkitamist,tekitamist
tekkitas,tekitas
tekkitud,tekkinud
telefooni,telefoni
telefooninumber,telefoninumber
telek,telekas
televiirosit,televiisorit
temea,tema
tenusepakkujaga,teenusepakkujaga
teretooriumi,territooriumi
tervi,tervis
tervides,tervitades
tervisehoid,tervishoid
tervisehoiu,tervishoiu
tervisehoiuarst,tervishoiuarst
tervisehoju,tervishoiu
terviserikket,terviseriket
tervisesõnaga,tervitussõnaga
tervishoisuministeerium,tervishoiuministeerium
tervisüritustest,terviseüritustest
tesipäeval,teisipäeval
tippspetcialistide,tippspetsialistide
töesti,tõesti
toid,toit
toidpakendeid,toidupakendeid
toidumisega,toitumisega
tõisest,teisest
tõkspidamsi,tõekspidamisi
toleraantne,tolerantne
tollerantne,tolerantne
töo,töö
töödeportamentis,töödeportametis
tööitab,töötab
tööitan,töötan
töökaslased,töökaaslased
töökeskond,töökeskkond
tööõhkkon,tööõhkkond
tööõhkkonn,tööõhkkond
tööõhkond,tööõhkkond
tööõhkonnas,tööõhkkonnas
tööõkkond,tööõhkkond
tööpaeviti,tööpäeviti
töörist,tööriist
tööristad,tööriistad
tööristana,tööriistana
tööspetsifiika,tööspetsiifika
tööt,tööd
töötajäd,töötajad
tootasid,töötasid
töötervisehoiu,töötervishoiu
töötervisehoiuarsti,töötervishoiuarsti
töötervisehoiuga,töötervishoiuga
töötervishoiarstid,töötervishoiuarstid
töötuv,töötav
tööulesannete,tööülesannete
tööulesanneteks,tööülesanneteks
tortiga,tordiga
tortisöömine,tordisöömine
tõstetama,tõstatama
tõstetatud,tõstatatud
tõstmesega,tõstmisega
traaktorijuhiga,traktorijuhiga
tragöödijaid,tragöödiaid
trenazöörid,trenažöörid
trepikodus,trepikojas
trotuari,trotuaari
tšintsilad,tšintšiljad
tulemisi,tulemusi
tulemustetest,tulemustest
tulevikusest,tulevikust
tunma,tundma
tuntude,tuntud
turalisust,turvalisust
turvaintsitentide,turvaintsidentide
turvaintsitentidel,turvaintsidentidel
tutav,tuttav
tutavad,tuttavad
tütraga,tütrega
tuttvun,tutvun
tutvadust,tuttavatest
tuuletõrjujatel,tuletõrjujatel
tüüpid,tüübid
udiseid,uudiseid
üelda,öelda
uheksa,üheksa
ühikondikest,ühiskondlikest
ühile,ühele
uhkledada,uhkeldada
uhtegi,ühtegi
ükse,üks
ülatus,üllatus
ülehinnaata,ülehinnata
ülehommseks,ülehomseks
ülekanetega,ülekannetega
uletamine,ületamine
ulevated,ülevaated
ulikooli,ülikooli
üliõppilane,üliõpilane
ülsaanete,ülesannete
ümarlaul,ümarlaual
ümbes,umbes
ümmarlauas,ümarlauas
ümruses,ümbruses
uritust,üritust
ürrin,üürin
USB-kabel,USB-kaabel
uudeseid,uudiseid
uudisi,uudiseid
uudite,uudiste
uuditest,uudistest
uuendmata,uuendamata
uuetele,uutele
uuetest,uutest
üüritused,üritused
vaabandan,vabandan
vaabrikuid,vabrikuid
vaadate,vaatate
väälismaal,välismaal
vaana,vana
vaatada,vaadata
vaatamisvärsussi,vaatamisväärsusi
vaatenurkn,vaatenurka
vabatahlike,vabatahtlike
vabatahtlikut,vabatahtlikku
vadata,vaadata
vägilisi,vägisi
vähendumist,vähendamist
vaike,väike
väikke,väike
väikkelinnades,väikelinnades
väikset,väikest
väiksetel,väikestel
väiksetes,väikestes
väikste,väikeste
väimalus,võimalus
väismaale,välismaale
väke,väike
valedam,valem
valismaalt,välismaalt
valja,välja
väljasmaal,välismaal
vanaid,vanu
vanainimisi,vanainimesi
vanallinna,vanalinna
vanaseid,vanu
vanna,vana
varalikult,varakult
varasti,vanasti
variantid,variandid
väsine,väsi
vastage,vastake
vastakuid,vastakaid
väste,vasta
vastuda,vastata
vastusi,vastuseid
vastustab,vastutab
vastutundlik,vastutustundlik
vastutustundeline,vastutustundlik
vastuvõttav,vastuvõttev
vatama,vaatama
veadest,vigadest
vebilehel,veebilehel
vedame,veedame
veedas,veetis
